hotspot,name,lat,lon,patrol,shift,violations,impact
J:BTP137 - Madiwala Traffic PS Junction,BTP137 - Madiwala Traffic PS Junction,12.923,77.62,7,morning,596,5.35
"J:BTP186 - 9th Cross, 4th Main, Jayanagar","BTP186 - 9th Cross, 4th Main, Jayanagar",12.939,77.583,7,afternoon,546,4.96
"J:BTP123 - 10th Cross, Wilson Garden","BTP123 - 10th Cross, Wilson Garden",12.946,77.596,7,evening,535,5.81
"J:BTP226 - 33rd Cross, 11th Main, Jayanagar","BTP226 - 33rd Cross, 11th Main, Jayanagar",12.926,77.586,7,night,492,6.2
J:BTP215 - Vanivillas Junction,BTP215 - Vanivillas Junction,12.946,77.57,7,morning,434,6.01
G0101,"5th Main Road, Dhondusa Layout, Basavanagudi, Be",12.942,77.567,7,afternoon,431,4.72
J:BTP140 - Madiwala Check Post,BTP140 - Madiwala Check Post,12.932,77.613,7,evening,368,5.52
"J:BTP163 - 16th Main Road, BTM Layout","BTP163 - 16th Main Road, BTM Layout",12.915,77.609,7,night,364,4.75
"J:BTP115 - Sahasra Hospital, Jayanagar","BTP115 - Sahasra Hospital, Jayanagar",12.917,77.574,7,morning,362,5.81
J:BTP136 - Hosur-Tavarkere Road Junction,BTP136 - Hosur-Tavarkere Road Junction,12.934,77.608,7,afternoon,360,5.6
J:BTP219 - Canara Bank Junction,BTP219 - Canara Bank Junction,12.931,77.585,7,evening,358,5.89
G0112,"Sadduguntepalya Road, Bharthi Layout, Saddugunte",12.931,77.607,7,night,352,4.3
J:BTP218 - Syndicate Bank Junction,BTP218 - Syndicate Bank Junction,12.935,77.584,7,morning,351,5.15
J:BTP155 - Katriguppe Junction,BTP155 - Katriguppe Junction,12.927,77.551,7,afternoon,339,4.62
J:BTP126 - Dairy Circle,BTP126 - Dairy Circle,12.937,77.602,7,evening,334,5.58
G0141,"7th Cross Road, MICO Layout, BTM Layout Stage 2,",12.914,77.605,7,night,333,3.74
J:BTP109 - Dewan Madhava Rao Junction,BTP109 - Dewan Madhava Rao Junction,12.941,77.572,7,morning,309,5.01
"J:BTP117 - 9th Cross, Kanakapura Road","BTP117 - 9th Cross, Kanakapura Road",12.912,77.573,7,afternoon,307,4.8
"J:BTP188 - 27th Cross, 4th Main, Jayanagar","BTP188 - 27th Cross, 4th Main, Jayanagar",12.93,77.581,7,evening,294,5.08
J:BTP220 - Puttanna Junction,BTP220 - Puttanna Junction,12.929,77.583,7,night,294,6.07
